,subject,video
0,Thea,f_pl_o1_div_-o
1,Thea,m_pl_o1_div_+o
2,Thea,m_pl_o1_dir_+o
3,Thea,f_pl_o1_div_+o
4,Thea,f_pl_o1_dir_-o
5,Thea,f_pl_o1_dir_+o
6,Thea,m_pl_o1_div_-o
7,Thea,m_pl_o1_dir_-o
