,subject,video
0,Elisabet,m_pl_o1_dir_+o
1,Elisabet,f_pl_o1_dir_-o
2,Elisabet,m_pl_o1_dir_-o
3,Elisabet,f_pl_o1_dir_+o
4,Elisabet,f_pl_o1_div_-o
5,Elisabet,m_pl_o1_div_-o
6,Elisabet,f_pl_o1_div_+o
7,Elisabet,m_pl_o1_div_+o
