,subject,video
0,magnus,f_pl_o1_div_+o
1,magnus,f_pl_o1_div_-o
2,magnus,m_pl_o1_div_+o
3,magnus,m_pl_o1_div_-o
4,magnus,f_pl_o1_dir_+o
5,magnus,m_pl_o1_dir_-o
6,magnus,f_pl_o1_dir_-o
7,magnus,m_pl_o1_dir_+o
